大区域,小区域,小区名,该房源建筑时间,小区建造时间,楼栋数量,房屋数量,地铁距离,物业公司,物业费,开发商,房屋类型,房源链接,房源标题,房源户型,房源楼层,房源总楼,电梯,装修,面积,朝向,住宅类型,关注,发布时间,房屋总价,房屋单价,笋度
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101556878.html,清江山水 两证五年 业主名下只有一套房子 无贷款,2室2厅1厨1卫,中楼层 (共25层),['共25层'],有,简装,77.52㎡,东 东南 南,普通住宅,50,2018-11-23,160,20640,0.9825764067409312
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101057912.html,清江山水 三期次新房纯毛坯 高楼层 随时看房,3室2厅1厨1卫,高楼层 (共32层),['共32层'],有,毛坯,104.51㎡,南 北,普通住宅,99,2018-06-23,220,21051,1.0021422450728363
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104100866434.html,清江1.3期南北通透改造小三房，换房诚心出售,3室2厅1厨1卫,中楼层 (共11层),['共11层'],有,精装,91.14㎡,南 北,普通住宅,49,2018-03-17,190,20848,0.9924783395220413
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101777225.html,光谷软件园 清江山水 两居室 两证两年,2室1厅1厨1卫,中楼层 (共11层),['共11层'],有,简装,61.95㎡,南 北,普通住宅,58,2019-02-19,142,22922,1.0912120346567646
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101498023.html,采光充足，出行方便，业主诚心出售，满两年。,2室2厅1厨1卫,低楼层 (共18层),['共18层'],有,简装,73.41㎡,南,普通住宅,139,2018-11-04,156,21251,1.0116633342854422
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101986143.html,光谷软件园 清江山水 经典两房 两证两年 诚心出售,2室2厅1厨1卫,中楼层 (共18层),['共18层'],有,简装,73.28㎡,南,普通住宅,28,2019-04-04,158,21562,1.0264686280110444
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101985731.html,清江山水 精装修 电梯两房 业主诚心出售！,2室2厅1厨1卫,高楼层 (共32层),['共32层'],有,精装,80.37㎡,南 北,普通住宅,10,2019-04-04,172,21402,1.0188517566409596
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101182952.html,两证满两年，业主自住精装修，看房提前预约就行,2室1厅1厨1卫,高楼层 (共25层),['共25层'],有,精装,79.17㎡,南,普通住宅,51,2018-08-08,170,21473,1.0222317433114347
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101511313.html,清江山水 自住精装修两房 满两年 无贷款 看房方便,2室2厅1厨1卫,低楼层 (共18层),['共18层'],有,精装,73.41㎡,南,普通住宅,46,2018-11-08,164,22341,1.0635532704941446
东湖高新,民族大道,清江山水,2008,2008,89栋,7257户,暂无地铁,湖北清江物业有限责任公司武汉分公司,1.8至2.48元/平米/月,湖北清江置业有限责任公司,板楼,https://wh.lianjia.com/ershoufang/104101726666.html,清江山水  精装两房   满两年 看房方便,2室2厅1厨1卫,高楼层 (共32层),['共32层'],有,精装,88.02㎡,南,普通住宅,31,2019-01-21,182,20678,0.9843854136913263
